  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
 ------------------------------------------------------------
    1      1  16138       0.08       1159.4       407.5
    2      2  16140       0.58       1326.4       531.2
    3      3  16143       0.01        365.7       256.8
    4      4  16166       0.05       2239.6      1502.9
    5      5  16178       0.80       1071.6       756.9
    6      6  16418       1.24       2180.6      1561.5
    7      7  16419       2.16        485.9       356.5
    8      8  16420      30.14       1345.7       969.1
    9      9  16425      28.02       1412.8      1025.4
   10     10  16429       3.54        686.3       499.5
   11     11  16479       2.48        194.1       114.3
   12     12  16499       0.40       1504.2       493.2
   13     13  16504       0.22       1483.8       860.2
   14     14  16512       0.07        817.8       393.3
   15     15  16521      31.57       2753.7      1837.4
   16     16  16524      17.29       3009.6      1604.0
   17     17  16528      12.35        380.6       222.4
   18     18  16531       0.62        220.9       152.8
   19     19  16536       4.02       1376.9       988.7
   20     20  16558      11.22       1340.9       943.0
   21     21  16561       3.17       1106.0       699.1
   22     22  16562       0.77        390.0       287.1
   23     23  16564       0.29        157.4       103.7
   24     24  16568       0.38       3400.8       985.3
   25     25  16569       5.61        995.3       701.1
   26     26  16772       0.41       1110.2       783.3
   27     27  16773       0.29        892.8       455.3
   28     28  16775       5.41        598.1       434.5
   29     29  16805       7.55       5521.5      3195.0
   30     30  16807       0.16        156.1       105.3
   31     31  16813       0.62       2737.0      1069.8
   32     32  16816       3.58        878.0       613.0
   33     33  16817       8.95        181.6        79.6
   34     34  16820       0.62        176.2       114.7
   35     35  16822       0.04        413.4       286.0
   36     36  16824       7.05        406.7       267.1
   37     37  16827       7.49        759.1       554.0
   38     38  16828       5.31        233.1       131.2
   39     39  16832       0.04        213.0       156.6
   40     40  16836       0.01        330.2       224.9
   41     41  16839       0.01        771.9       351.8
   42     42  16858       1.19       1377.6       986.2
   43     43  16861       0.02        442.7       296.2
   44     44  16862       0.98       1088.4       569.1
   45     45  16866       1.03        331.2       240.4
   46     46  16879      15.37       2680.8      1484.6
   47     47  16880      21.81        703.7       459.6
   48     48  16881       0.01        217.4       161.4
   49     49  16883       0.33        142.8        90.7
   50     50  16966       3.96       6430.9      2980.6
   51     51  17155       2.19       2532.1      1793.6
   52     52  17189       0.08       2236.2      1510.2
   53     53  17190      31.73       1153.2       807.0
   54     54  17192      11.35        339.9       193.4
   55     55  17195       5.86        354.7       229.0
   56     56  17198       0.52        145.1        90.0
   57     57  17200      15.44       1638.9      1139.0
   58     58  17201       0.40        117.0        68.9
   59     59  17203       0.01         70.8        40.4
   60     60  17205      39.54       1859.3      1351.6
   61     61  17217       8.31        137.6        37.9
   62     62  17219      16.12       2136.3      1361.2
   63     63  17227       2.16        524.8       384.9
   64     64  17228      52.71       6980.6      3207.2
   65     65  17229      30.22        475.1       246.2
   66     66  17230      10.98        382.5       229.3
   67     67  17232       4.46       1622.4       878.8
   68     68  17233       0.01        211.2       156.6
   69     69  17236       3.84       1557.4       835.7
   70     70  17237       0.04        156.2       109.2
   71     71  17238       2.62       1415.4       742.7
   72     72  17240       0.22        114.6        69.5
   73     73  17242       3.93       4232.5       822.9
   74     74  17243      15.44        793.0       559.0
   75     75  17246      10.37       2739.9      1295.5
   76     76  17247       0.52        583.9       397.6
   77     77  17248       1.92       2143.5       703.2
   78     78  17249       0.13        833.0       414.2
   79     79  17250       0.02        610.3       345.6
   80     80  17251       1.22        311.4       222.7
   81     81  17252       6.21       1393.2       886.6
   82     82  17253       0.03        233.6       173.2
   83     83  17254      47.63       4613.8      2723.5
